user_id,product_id,action,rating,timestamp
u259,p255,add_to_cart,,1997-09-20T10:05:10
u259,p286,add_to_cart,,1997-09-20T10:05:27
u259,p298,add_to_cart,,1997-09-20T10:05:54
u259,p185,add_to_cart,,1997-09-20T10:06:21
u259,p173,add_to_cart,,1997-09-20T10:07:23
u259,p108,add_to_cart,,1997-09-20T10:08:02
u259,p772,add_to_cart,,1997-09-20T10:08:02
u259,p288,add_to_cart,,1997-09-20T10:08:25
u259,p928,add_to_cart,,1997-09-20T10:08:57
u259,p117,add_to_cart,,1997-09-20T10:09:48
u259,p200,add_to_cart,,1997-09-20T10:11:21
u259,p405,add_to_cart,,1997-09-20T10:12:00
u259,p1074,add_to_cart,,1997-09-20T10:14:24
u259,p176,add_to_cart,,1997-09-20T10:16:26
u259,p357,purchase,5.0,1997-09-20T10:18:05
u259,p210,add_to_cart,,1997-09-20T10:18:05
u851,p687,view,,1997-09-20T11:02:48
u851,p696,add_to_cart,,1997-09-20T11:05:38
u851,p284,add_to_cart,,1997-09-20T11:05:38
u851,p295,purchase,5.0,1997-09-20T11:06:10
u851,p473,add_to_cart,,1997-09-20T11:06:36
u851,p544,add_to_cart,,1997-09-20T11:06:36
u851,p290,add_to_cart,,1997-09-20T11:07:10
u851,p147,add_to_cart,,1997-09-20T11:07:41
u851,p121,add_to_cart,,1997-09-20T11:09:25
u851,p717,add_to_cart,,1997-09-20T11:09:58
u712,p220,purchase,5.0,1997-09-20T11:28:02
u712,p1040,add_to_cart,,1997-09-20T11:28:02
u712,p510,view,,1997-09-20T11:29:09
u712,p50,add_to_cart,,1997-09-20T11:29:10
u712,p731,purchase,5.0,1997-09-20T11:29:10
u712,p417,add_to_cart,,1997-09-20T11:29:10
u712,p623,add_to_cart,,1997-09-20T11:29:38
u712,p385,purchase,5.0,1997-09-20T11:29:38
u712,p66,purchase,5.0,1997-09-20T11:30:16
u712,p97,purchase,5.0,1997-09-20T11:30:16
u712,p553,purchase,5.0,1997-09-20T11:30:50
u712,p969,add_to_cart,,1997-09-20T11:30:50
u712,p79,add_to_cart,,1997-09-20T11:30:50
u712,p96,purchase,5.0,1997-09-20T11:30:50
u712,p181,purchase,5.0,1997-09-20T11:31:41
u712,p173,purchase,5.0,1997-09-20T11:31:41
u712,p172,purchase,5.0,1997-09-20T11:31:41
u712,p42,view,,1997-09-20T11:32:15
u712,p402,add_to_cart,,1997-09-20T11:32:15
u712,p498,add_to_cart,,1997-09-20T11:32:15
u712,p234,view,,1997-09-20T11:32:15
u712,p421,add_to_cart,,1997-09-20T11:32:15
u712,p739,add_to_cart,,1997-09-20T11:32:15
u712,p423,add_to_cart,,1997-09-20T11:32:40
u712,p99,add_to_cart,,1997-09-20T11:33:15
u712,p174,purchase,5.0,1997-09-20T11:33:15
u712,p692,purchase,5.0,1997-09-20T11:33:15
u712,p812,add_to_cart,,1997-09-20T11:33:16
u712,p1220,purchase,5.0,1997-09-20T11:33:16
u712,p392,purchase,5.0,1997-09-20T11:33:16
u712,p61,add_to_cart,,1997-09-20T11:33:51
u712,p82,purchase,5.0,1997-09-20T11:33:51
u712,p215,add_to_cart,,1997-09-20T11:33:51
u712,p202,add_to_cart,,1997-09-20T11:33:51
u712,p432,add_to_cart,,1997-09-20T11:34:16
u712,p195,add_to_cart,,1997-09-20T11:34:45
u712,p462,add_to_cart,,1997-09-20T11:34:45
u712,p69,add_to_cart,,1997-09-20T11:34:45
u712,p746,add_to_cart,,1997-09-20T11:34:45
u712,p776,add_to_cart,,1997-09-20T11:35:55
u712,p88,add_to_cart,,1997-09-20T11:35:55
u712,p1055,add_to_cart,,1997-09-20T11:35:55
u712,p177,view,,1997-09-20T11:35:55
u712,p4,add_to_cart,,1997-09-20T11:36:19
u712,p785,purchase,5.0,1997-09-20T11:36:46
u712,p238,add_to_cart,,1997-09-20T11:36:46
u712,p1469,add_to_cart,,1997-09-20T11:36:46
u712,p365,add_to_cart,,1997-09-20T11:37:14
u712,p419,add_to_cart,,1997-09-20T11:37:14
u712,p660,add_to_cart,,1997-09-20T11:37:14
u712,p585,add_to_cart,,1997-09-20T11:37:14
u712,p1503,add_to_cart,,1997-09-20T11:37:15
u712,p560,add_to_cart,,1997-09-20T11:37:41
u712,p72,add_to_cart,,1997-09-20T11:37:41
u712,p228,add_to_cart,,1997-09-20T11:37:41
u712,p71,purchase,5.0,1997-09-20T11:37:41
u712,p73,purchase,5.0,1997-09-20T11:38:13
u712,p622,add_to_cart,,1997-09-20T11:38:13
u712,p210,purchase,5.0,1997-09-20T11:38:13
u712,p393,add_to_cart,,1997-09-20T11:38:40
u712,p662,purchase,5.0,1997-09-20T11:38:40
u712,p141,add_to_cart,,1997-09-20T11:38:40
u712,p584,add_to_cart,,1997-09-20T11:39:02
u712,p732,purchase,5.0,1997-09-20T11:39:30
u712,p949,add_to_cart,,1997-09-20T11:39:30
u712,p378,add_to_cart,,1997-09-20T11:39:30
u712,p716,purchase,5.0,1997-09-20T11:39:30
u712,p191,add_to_cart,,1997-09-20T11:39:56
u712,p196,add_to_cart,,1997-09-20T11:39:56
u712,p83,add_to_cart,,1997-09-20T11:39:56
u712,p59,view,,1997-09-20T11:40:20
u712,p136,view,,1997-09-20T11:40:43
u712,p230,add_to_cart,,1997-09-20T11:41:07
u712,p655,purchase,5.0,1997-09-20T11:41:07
u712,p404,add_to_cart,,1997-09-20T11:41:07
u712,p1053,add_to_cart,,1997-09-20T11:41:30
u712,p568,purchase,5.0,1997-09-20T11:41:31
u712,p941,purchase,5.0,1997-09-20T11:41:31
u712,p729,purchase,5.0,1997-09-20T11:41:31
u712,p60,view,,1997-09-20T11:42:00
u712,p506,add_to_cart,,1997-09-20T11:42:00
u712,p495,add_to_cart,,1997-09-20T11:42:00
u712,p946,add_to_cart,,1997-09-20T11:42:01
u712,p486,add_to_cart,,1997-09-20T11:42:01
u712,p747,add_to_cart,,1997-09-20T11:42:32
u712,p431,add_to_cart,,1997-09-20T11:42:32
u712,p95,add_to_cart,,1997-09-20T11:42:32
u712,p418,add_to_cart,,1997-09-20T11:42:33
u712,p38,add_to_cart,,1997-09-20T11:42:33
u851,p111,add_to_cart,,1997-09-20T21:56:48
u851,p1014,add_to_cart,,1997-09-20T21:56:48
u851,p845,add_to_cart,,1997-09-20T21:56:48
u851,p742,purchase,5.0,1997-09-20T21:58:39
u851,p815,add_to_cart,,1997-09-20T21:59:10
u851,p824,add_to_cart,,1997-09-20T21:59:10
u851,p405,purchase,5.0,1997-09-20T21:59:10
u119,p300,purchase,5.0,1997-09-20T23:51:26
u119,p286,purchase,5.0,1997-09-20T23:51:26
u119,p322,add_to_cart,,1997-09-20T23:54:09
u119,p323,add_to_cart,,1997-09-20T23:54:09
u119,p275,purchase,5.0,1997-09-20T23:56:15
u119,p866,add_to_cart,,1997-09-20T23:56:15
u119,p458,purchase,5.0,1997-09-20T23:56:15
u119,p100,purchase,5.0,1997-09-20T23:56:15
u119,p50,purchase,5.0,1997-09-20T23:58:38
u119,p455,add_to_cart,,1997-09-20T23:58:39
u119,p741,add_to_cart,,1997-09-21T00:00:15
u119,p235,purchase,5.0,1997-09-21T00:02:36
u119,p813,add_to_cart,,1997-09-21T00:02:36
u119,p718,purchase,5.0,1997-09-21T00:02:36
u119,p277,add_to_cart,,1997-09-21T00:03:13
u119,p298,add_to_cart,,1997-09-21T00:03:58
u119,p237,purchase,5.0,1997-09-21T00:03:58
u119,p1086,add_to_cart,,1997-09-21T00:05:36
u119,p412,add_to_cart,,1997-09-21T00:05:36
u119,p282,purchase,5.0,1997-09-21T00:05:36
u119,p628,add_to_cart,,1997-09-21T00:06:25
u119,p7,purchase,5.0,1997-09-21T00:06:25
u119,p276,view,,1997-09-21T00:07:42
u119,p1016,purchase,5.0,1997-09-21T00:07:42
u119,p93,add_to_cart,,1997-09-21T00:07:42
u119,p125,purchase,5.0,1997-09-21T00:07:42
u119,p222,purchase,5.0,1997-09-21T00:08:31
u119,p121,add_to_cart,,1997-09-21T00:08:31
u119,p829,purchase,5.0,1997-09-21T00:10:06
u119,p982,add_to_cart,,1997-09-21T00:10:06
u119,p823,add_to_cart,,1997-09-21T00:10:06
u119,p742,purchase,5.0,1997-09-21T00:10:06
u119,p181,add_to_cart,,1997-09-21T00:10:06
u119,p472,add_to_cart,,1997-09-21T00:10:06
u119,p762,add_to_cart,,1997-09-21T00:11:05
u119,p597,add_to_cart,,1997-09-21T00:11:05
